date,docker_pulls,stars,forks,views_14d,uniques_14d,clones_14d
2026-08-21,398068,365,126,968,223,12944
2026-08-22,398097,365,126,968,223,12944
2026-08-23,398151,365,126,978,225,14129
2026-08-24,398175,366,126,925,217,13277
2026-08-25,398195,369,125,925,206,12722
2026-08-26,398241,370,125,886,199,12485
2026-08-27,398262,370,124,848,204,10885
2026-08-28,398268,371,124,743,165,9975
2026-08-29,398273,371,124,743,165,9975
2026-08-30,398290,371,124,743,165,9975
2026-08-31,398302,372,124,648,141,6235
2026-09-01,398320,372,124,685,147,6321
2026-09-02,398339,372,124,700,148,5759
2026-09-03,398390,372,124,695,154,5452
